title,release_year,runtime_minutes,imdb_rating,Meta_score,No_of_Votes,Genre
Out of the Past,1947,97,8.0,,32784,"Crime, Drama, Film-Noir"
Rope,1948,80,8.0,73,129783,"Crime, Drama, Mystery"
Kind Hearts and Coronets,1949,106,8.0,,34485,"Comedy, Crime"
In a Lonely Place,1950,94,8.0,,26784,"Drama, Film-Noir, Mystery"
A Streetcar Named Desire,1951,122,8.0,97,99182,Drama
Stalag 17,1953,120,8.0,84,51046,"Comedy, Drama, War"
Roman Holiday,1953,118,8.0,78,127256,"Comedy, Romance"
La Strada,1954,108,8.0,,58314,Drama
Les diaboliques,1955,117,8.0,,61503,"Crime, Drama, Horror"
The Night of the Hunter,1955,92,8.0,99,81980,"Crime, Drama, Film-Noir"
The Killing,1956,84,8.0,91,81702,"Crime, Drama, Film-Noir"
Sweet Smell of Success,1957,96,8.0,100,28137,"Drama, Film-Noir"
Touch of Evil,1958,95,8.0,99,98431,"Crime, Drama, Film-Noir"
Cat on a Hot Tin Roof,1958,108,8.0,84,45062,Drama
Rio Bravo,1959,141,8.0,93,56305,"Action, Drama, Western"
Anatomy of a Murder,1959,161,8.0,95,59847,"Crime, Drama, Mystery"
La dolce vita,1960,174,8.0,95,66621,"Comedy, Drama"
The Hustler,1961,134,8.0,90,75067,"Drama, Sport"
Vivre sa vie: Film en douze tableaux,1962,80,8.0,,28057,Drama
8½,1963,138,8.0,91,108844,Drama
Per un pugno di dollari,1964,99,8.0,65,198219,"Action, Drama, Western"
The Sound of Music,1965,172,8.0,63,205425,"Biography, Drama, Family"
Doctor Zhivago,1965,197,8.0,69,69903,"Drama, Romance, War"
Who's Afraid of Virginia Woolf?,1966,131,8.0,75,68926,Drama
The Graduate,1967,106,8.0,83,253676,"Comedy, Drama, Romance"
Planet of the Apes,1968,112,8.0,79,165167,"Adventure, Sci-Fi"
Rosemary's Baby,1968,137,8.0,96,193674,"Drama, Horror"
Butch Cassidy and the Sundance Kid,1969,110,8.0,66,201888,"Biography, Crime, Drama"
Il conformista,1970,113,8.0,100,27067,Drama
Fiddler on the Roof,1971,181,8.0,67,39491,"Drama, Family, Musical"
The Last Picture Show,1971,118,8.0,93,42456,"Drama, Romance"
Sleuth,1972,138,8.0,,44748,"Mystery, Thriller"
Papillon,1973,151,8.0,58,121627,"Biography, Crime, Drama"
The Exorcist,1973,122,8.0,81,362393,Horror
Young Frankenstein,1974,106,8.0,80,143359,Comedy
Dog Day Afternoon,1975,125,8.0,86,235652,"Biography, Crime, Drama"
Jaws,1975,124,8.0,87,543388,"Adventure, Thriller"
Annie Hall,1977,93,8.0,92,251823,"Comedy, Romance"
Being There,1979,130,8.0,83,65625,"Comedy, Drama"
Kagemusha,1980,180,8.0,84,32195,"Drama, History, War"
Gandhi,1982,191,8.0,79,217664,"Biography, Drama, History"
The Terminator,1984,107,8.0,84,799795,"Action, Sci-Fi"
Tenkû no shiro Rapyuta,1986,125,8.0,78,150140,"Animation, Adventure, Drama"
Der Himmel über Berlin,1987,128,8.0,79,64722,"Drama, Fantasy, Romance"
The Princess Bride,1987,98,8.0,77,393899,"Adventure, Family, Fantasy"
Au revoir les enfants,1987,104,8.0,88,31163,"Drama, War"
Akira,1988,124,8.0,,164918,"Animation, Action, Sci-Fi"
Rain Man,1988,133,8.0,65,473064,Drama
